"08. Juli 2025",2025-07-08,2025-07-08,,,"Oberbürgermeister Christian Specht und GBG-Geschäftsführer Karl-Heinz Frings stellen das fertiggestellte Hochhaus „H“ auf Franklin vor. Der Hochpunkt H ist nach dem E der zweite Baustein der GBG an den vier Gebäuden, die das Wort „HOME“ ergeben sollen.","2.3 Bauwesen Hochbau","2025-07-09: Pressedienst"
"10. Juli 2025",2025-07-10,2025-07-10,,,"Mit einem feierlichen Festakt wird die neue Spinelli-Grundschule offiziell eingeweiht. In Anwesenheit der baden-württembergischen Kultusministerin Theresa Schopper, Oberbürgermeister Christian Specht, Bildungsbürgermeister Dirk Grunert sowie dem Geschäftsführer der Bau- und Betriebsservice GmbH (BBS) Peter Doberass wird symbolisch der Schlüssel an Schulleiterin Sabine Stechl übergeben. ","3.7.1 Bildungswesen Schulen Grund- und Hauptschulen","2025-07-10: Pressedienst"
"08. Juli 2025",2025-07-08,2025-07-08,,,"Im Schloss Favorite in Rastatt tauchen vier Gemälde aus dem Jahr 1732 auf, die zur Erstausstattung des Mannheimer Schlosses gehörten. Es handelt sich um Supraporten des Hofmalers Johann von der Schlichten. Drei der Werke werden im Trabantensaal des Schlosses aufgehängt, das viert Bild verbleibt in Rastatt. ","11.8. Kunst und Kultur Museum","2025-07-09: Mannheimer Morgen"
"09. Juli 2025",2025-07-09,2025-07-09,,,"Seit einigen Wochen brechen vermehrt dicke Äste an gesunden Bäumen in Mannheim und Umgebung ab. Die Grünastbrüche sind vermutlich Folge von Trockenstress, der durch den Klimawandel vermehrt auftritt. ","16.4 Umwelt Klimaschutz","2025-07-10: Mannheimer Morgen"
"07. Juli 2025",2025-07-07,2025-07-07,,,"Die Umbaumaßnahmen der Stadt am Spielplatz auf dem Herschelplatz sind abgeschlossen. Seit Anfang Juni wurden neben einer neuen Kletteranlage mit einem angehängten Sonnensegel, auch ein Stufenreck, eine Stehwippe sowie ein Tischkicker, der für den Außenbereich geeignet ist, installiert. ","16.2.4 Sozialwesen Familie Kinder","2025-07-07: Pressedienst"
"08. Juli 2025",2025-07-08,2025-07-08,,,"Beim 10. Regenbogenempfang der Stadt im Florian-Waldeck-Saal der Reiss-Engelhorn-Museen steht die Sicherheit queerer Menschen im Mittelpunkt. Oberbürgermeister Christian Specht betont in seiner Rede: „Heute feiern wir nicht nur Vielfalt, sondern machen in Zeiten zunehmender Ressentiments auch deutlich: Queeres Leben gehört in die Mitte dieser Stadt – mit Respekt, Sichtbarkeit und Sicherheit.“","16.3.5 Sozialwesen Gesellschaft Queer - Transgender","2025-07-10: Pressedienst"
"12. Juli 2025",2025-07-12,2025-07-12,,,"Rund 7.000 Menschen demonstrieren am Christopher-Street-Day für Vielfalt und Gleichberechtigung. Erstmals veranstaltet der neu gegründete Verein Monnem Pride die Parade. ","16.3.5 Sozialwesen Gesellschaft Queer - Transgender","2025-07-14: Mannheimer Morgen"
"12. Juli 2025",2025-07-12,2025-07-12,,,"Das MARCHIVUM SOMMERFEST – GESCHICHTE(N) FÜR ALLE! findet statt. Die Vorsitzende des Freundeskreises Helen Heberer und Dr. Harald Stockert, der Leiter des MARCHIVUM, eröffnen das Fest, welches u.a. Führungen, Kinderprogramm und zahlreiche Informationen bietet. Das Sommerfest soll künftig alle zwei Jahre im Wechsel mit dem Tag der Archive stattfinden.","11.1 Kunst und Kultur Allgemein","2025-07-12: Presseerklärung"
"11. Juli 2025",2025-07-11,2025-07-11,,,"Die ""Eiszeit-Safari""-Ausstellung der Reiss-Engelhorn-Museen wird im National Museum of Nature and Science in Tokio eröffnet und ist der Auftakt einer zweijährigen Tournee durch Japan.","11.8. Kunst und Kultur Museum","2025-07-15: Mannheimer Morgen"
"15. Juli 2025",2025-07-15,2025-07-15,,,"Die Stadt informiert, dass für alle Fragen und Belange rund um das Thema Wildtiere die Stelle eines Wildtierbeauftragten geschaffen und mit Sven Heußner besetzt wurde. Heußner steht künftig als erster Ansprechpartner für Bürger*innen zur Verfügung, wenn es beispielsweise zu Vorkommnissen mit Wildtieren im Siedlungsraum kommt oder wenn sie Fragen bzgl. des richtigen Umgangs mit Wildtieren haben. ","19.1 Umwelt Allgemein","2025-07-15: Pressedienst"
